wavelength, flux 
411.900,  0.619 
412.000,  0.722 
412.100,  0.848 
412.200,  0.861 
412.300,  0.725 
412.400,  0.771 
412.500,  0.850 
412.600,  0.671 
412.700,  0.846 
412.800,  0.598 
412.900,  0.710 
413.000,  0.823 
413.100,  0.785 
413.200,  0.552 
413.300,  0.742 
413.400,  0.557 
413.500,  0.701 
413.600,  0.924 
413.700,  0.669 
413.800,  0.815 
413.900,  0.867 
414.000,  0.727 
414.100,  0.847 
414.200,  0.700 
414.300,  0.696 
414.400,  0.486 
414.500,  0.832 
414.600,  0.719 
414.700,  0.863 
414.800,  0.773 
414.900,  0.720 
415.000,  0.673 
415.100,  0.865 
415.200,  0.702 
415.300,  0.838 
415.400,  0.532 
415.500,  0.744 
415.600,  0.774 
415.700,  0.685 
415.800,  0.740 
415.900,  0.781 
416.000,  0.879 
416.100,  0.801 
416.200,  0.701 
416.300,  0.805 
416.400,  0.722 
416.500,  0.754 
416.600,  0.887 
416.700,  0.641 
416.800,  0.770 
416.900,  0.862 
417.000,  0.760 
417.100,  0.779 
417.200,  0.573 
417.300,  0.608 
417.400,  0.682 
417.500,  0.714 
417.600,  0.659 
417.700,  0.692 
417.800,  0.601 
417.900,  0.722 
418.000,  0.843 
418.100,  0.737 
418.200,  0.646 
418.300,  0.739 
418.400,  0.872 
418.500,  0.748 
418.600,  0.740 
418.700,  0.663 
418.800,  0.631 
418.900,  0.718 
419.000,  0.758 
419.100,  0.727 
419.200,  0.755 
419.300,  0.870 
419.400,  0.837 
419.500,  0.598 
419.600,  0.666 
419.700,  0.783 
419.800,  0.647 
419.900,  0.573 
420.000,  0.751 
420.100,  0.698 
420.200,  0.434 
420.300,  0.745 
420.400,  0.739 
420.500,  0.641 
420.600,  0.845 
420.700,  0.636 
420.800,  0.950 
420.900,  0.838 
421.000,  0.652 
421.100,  0.779 
421.200,  0.828 
421.300,  0.778 
421.400,  0.745 
421.500,  0.783 
421.600,  0.497 
421.700,  0.692 
421.800,  0.771 
421.900,  0.739 
422.000,  0.797 
422.100,  0.912 
422.200,  0.759 
422.300,  0.819 
422.400,  0.686 
422.500,  0.620 
422.600,  0.517 
422.700,  0.245 
422.800,  0.754 
422.900,  0.841 
423.000,  0.752 
423.100,  0.866 
423.200,  0.810 
423.300,  0.717 
423.400,  0.746 
423.500,  0.797 
423.600,  0.518 
423.700,  0.704 
423.800,  0.767 
423.900,  0.661 
424.000,  0.618 
424.100,  0.798 
424.200,  0.778 
424.300,  0.683 
424.400,  0.822 
424.500,  0.808 
424.600,  0.855 
424.700,  0.625 
424.800,  0.665 
424.900,  0.700 
425.000,  0.620 
425.100,  0.598 
425.200,  0.844 
425.300,  0.734 
425.400,  0.646 
425.500,  0.722 
425.600,  0.705 
425.700,  0.940 
425.800,  0.742 
425.900,  0.755 
426.000,  0.536 
426.100,  0.641 
426.200,  0.691 
426.300,  0.737 
426.400,  0.721 
426.500,  0.734 
426.600,  0.846 
426.700,  0.730 
426.800,  0.643 
426.900,  0.737 
427.000,  0.577 
427.100,  0.517 
427.200,  0.344 
427.300,  0.701 
427.400,  0.657 
427.500,  0.477 
427.600,  0.767 
427.700,  0.732 
427.800,  0.783 
427.900,  0.807 
428.000,  0.562 
428.100,  0.666 
428.200,  0.703 
428.300,  0.698 
428.400,  0.815 
428.500,  0.628 
428.600,  0.574 
428.700,  0.615 
428.800,  0.709 
428.900,  0.575 
429.000,  0.468 
429.100,  0.548 
429.200,  0.626 
429.300,  0.752 
429.400,  0.695 
429.500,  0.546 
429.600,  0.739 
429.700,  0.492 
429.800,  0.599 
429.900,  0.409 
430.000,  0.430 
430.100,  0.441 
430.200,  0.535 
430.300,  0.426 
430.400,  0.491 
430.500,  0.456 
430.600,  0.572 
430.700,  0.528 
430.800,  0.216 
430.900,  0.452 
431.000,  0.442 
431.100,  0.459 
431.200,  0.517 
431.300,  0.565 
431.400,  0.624 
431.500,  0.632 
431.600,  0.966 
431.700,  0.818 
431.800,  0.948 
431.900,  0.814 
432.000,  0.831 
432.100,  0.647 
432.200,  0.854 
432.300,  0.663 
432.400,  0.491 
432.500,  0.552 
432.600,  0.398 
432.700,  0.630 
432.800,  0.780 
432.900,  0.864 
433.000,  0.746 
433.100,  0.712 
433.200,  0.856 
433.300,  0.725 
433.400,  0.777 
433.500,  0.777 
433.600,  0.840 
433.700,  0.604 
433.800,  0.551 
433.900,  0.556 
434.000,  0.438 
434.100,  0.431 
434.200,  0.626 
434.300,  0.647 
434.400,  0.577 
434.500,  0.736 
434.600,  0.809 
434.700,  0.740 
434.800,  0.614 
434.900,  0.763 
435.000,  0.764 
435.100,  0.683 
435.200,  0.449 
435.300,  0.685 
435.400,  0.803 
435.500,  0.720 
435.600,  0.741 
435.700,  0.811 
435.800,  0.880 
435.900,  0.701 
436.000,  0.667 
436.100,  0.801 
436.200,  0.896 
436.300,  0.724 
436.400,  0.774 
436.500,  0.865 
436.600,  0.857 
436.700,  0.761 
436.800,  0.645 
436.900,  0.916 
437.000,  0.761 
437.100,  0.714 
437.200,  0.860 
437.300,  0.785 
437.400,  0.607 
437.500,  0.748 
437.600,  0.710 
437.700,  0.729 
437.800,  0.810 
437.900,  0.786 
438.000,  0.803 
438.100,  0.784 
438.200,  0.863 
438.300,  0.438 
438.400,  0.461 
438.500,  0.478 
438.600,  0.804 
438.700,  0.705 
438.800,  0.677 
438.900,  0.805 
439.000,  0.664 
439.100,  0.693 
439.200,  0.734 
439.300,  0.818 
439.400,  0.695 
439.500,  0.609 
439.600,  0.768 
439.700,  0.782 
439.800,  0.760 
439.900,  0.818 
440.000,  0.575 
440.100,  0.642 
440.200,  0.815 
440.300,  0.764 
440.400,  0.748 
440.500,  0.531 
440.600,  0.817 
440.700,  0.822 
440.800,  0.582 
440.900,  0.742 
441.000,  0.791 
441.100,  0.850 
441.200,  0.835 
441.300,  0.929 
441.400,  0.792 
441.500,  0.630 
441.600,  0.814 
441.700,  0.730 
441.800,  0.728 
441.900,  0.866 
442.000,  0.830 
442.100,  0.846 
442.200,  0.776 
442.300,  0.799 
442.400,  0.803 
442.500,  0.834 
442.600,  0.822 
442.700,  0.756 
442.800,  0.892 
442.900,  0.894 
443.000,  0.775 
443.100,  0.834 
443.200,  0.895 
443.300,  0.782 
443.400,  0.823 
443.500,  0.673 
443.600,  0.762 
443.700,  0.898 
443.800,  0.857 
443.900,  0.894 
444.000,  0.813 
444.100,  0.823 
444.200,  0.736 
444.300,  0.729 
444.400,  0.713 
444.500,  0.827 
444.600,  0.843 
444.700,  0.816 
444.800,  0.847 
444.900,  0.858 
445.000,  0.810 
445.100,  0.873 
445.200,  0.906 
445.300,  0.783 
445.400,  0.764 
445.500,  0.561 
445.600,  0.702 
445.700,  0.730 
445.800,  0.795 
445.900,  0.713 
446.000,  0.817 
446.100,  0.721 
446.200,  0.623 
446.300,  0.923 
446.400,  0.863 
446.500,  0.793 
446.600,  0.857 
446.700,  0.729 
446.800,  0.872 
446.900,  0.695 
447.000,  0.736 
447.100,  0.791 
447.200,  0.887 
447.300,  0.834 
447.400,  0.848 
447.500,  0.910 
447.600,  0.784 
447.700,  0.931 
447.800,  0.929 
447.900,  0.921 
448.000,  0.738 
448.100,  0.765 
448.200,  0.720 
448.300,  0.779 
448.400,  0.798 
448.500,  0.886 
448.600,  0.844 
448.700,  0.870 
448.800,  0.774 
448.900,  0.833 
449.000,  0.842 
449.100,  0.783 
449.200,  0.920 
449.300,  0.851 
449.400,  0.860 
449.500,  0.803 
449.600,  0.837 
449.700,  0.821 
449.800,  0.925 
449.900,  0.818 
450.000,  0.920 
450.100,  0.837 
450.200,  0.869 
450.300,  0.951 
450.400,  0.922 
450.500,  0.934 
450.600,  0.919 
450.700,  0.917 
450.800,  0.847 
450.900,  0.931 
451.000,  0.979 
451.100,  0.927 
451.200,  0.911 
451.300,  0.880 
451.400,  0.910 
451.500,  0.857 
451.600,  0.887 
451.700,  0.940 
451.800,  0.763 
451.900,  0.971 
452.000,  0.811 
452.100,  0.951 
452.200,  0.961 
452.300,  0.774 
452.400,  0.989 
452.500,  0.717 
452.600,  0.860 
452.700,  0.761 
452.800,  0.879 
452.900,  0.620 
453.000,  0.905 
453.100,  0.716 
453.200,  0.879 
453.300,  0.847 
453.400,  0.783 
453.500,  0.839 
453.600,  0.717 
453.700,  0.957 
453.800,  0.903 
453.900,  0.888 
454.000,  0.886 
454.100,  0.774 
454.200,  0.833 
454.300,  0.961 
454.400,  0.882 
454.500,  0.727 
454.600,  0.828 
454.700,  0.827 
454.800,  0.839 
454.900,  0.777 
455.000,  0.780 
455.100,  0.945 
455.200,  0.886 
455.300,  0.952 
455.400,  0.779 
455.500,  0.819 
455.600,  0.735 
455.700,  0.919 
455.800,  0.923 
455.900,  0.884 
456.000,  0.881 
456.100,  0.922 
456.200,  0.962 
456.300,  0.995 
456.400,  0.815 
456.500,  0.817 
456.600,  0.859 
456.700,  0.897 
456.800,  0.928 
456.900,  0.883 
457.000,  0.916 
457.100,  0.793 
457.200,  0.710 
457.300,  0.908 
457.400,  0.951 
457.500,  0.923 
457.600,  0.857 
457.700,  0.893 
457.800,  0.890 
457.900,  0.871 
458.000,  0.784 
458.100,  0.776 
458.200,  0.853 
458.300,  0.819 
458.400,  0.794 
458.500,  0.899 
458.600,  0.733 
458.700,  0.931 
458.800,  0.861 
458.900,  0.893 
